Date	Price	Open	High	Low	Change
Mar 05	43.675	43.620	43.842	43.390	0.09%
Apr 05	43.430	43.630	43.850	43.380	-0.56%
May 05	43.700	43.580	43.778	43.130	0.62%
Jun 05	43.485	43.665	43.810	43.340	-0.49%
Jul 05	43.440	43.400	43.685	43.000	-0.10%
Aug 05	44.015	43.380	44.160	43.310	1.32%
Sep 05	43.955	43.990	44.135	43.700	-0.14%
Oct 05	45.070	43.870	45.405	43.850	2.54%
Nov 05	45.890	45.000	46.030	45.000	1.82%
Dec 05	44.995	45.820	46.387	44.840	-1.95%
Jan 06	43.925	45.080	45.120	43.890	-2.38%
Feb 06	44.275	43.900	44.645	43.900	0.80%
Mar 06	44.500	44.200	44.750	44.090	0.51%
Apr 06	44.900	44.450	45.400	44.390	0.90%
May 06	46.305	44.880	46.545	44.680	3.13%
Jun 06	45.880	46.200	46.470	45.600	-0.92%
Jul 06	46.500	45.820	47.040	45.800	1.35%
Aug 06	46.480	46.460	46.780	46.300	-0.04%
Sep 06	45.910	46.360	46.550	45.680	-1.23%
Oct 06	44.920	45.780	45.885	44.800	-2.16%
Nov 06	44.600	44.900	45.370	44.350	-0.71%
Dec 06	44.115	44.570	44.930	44.080	-1.09%
Jan 07	44.080	44.120	44.625	44.000	-0.08%
Feb 07	44.090	44.070	44.370	43.840	0.02%
Mar 07	43.120	44.050	44.695	42.750	-2.20%
Apr 07	41.045	43.150	43.330	40.550	-4.81%
May 07	40.375	41.150	41.470	40.140	-1.63%
Jun 07	40.525	40.300	41.220	40.130	0.37%
Jul 07	40.190	40.600	40.740	40.050	-0.83%
Aug 07	40.640	40.150	41.705	40.130	1.12%
Sep 07	39.660	40.630	40.990	39.400	-2.41%
Oct 07	39.195	39.550	39.960	39.080	-1.17%
Nov 07	39.520	39.150	39.900	39.000	0.83%
Dec 07	39.405	39.450	39.670	39.100	-0.29%
Jan 08	39.280	39.400	39.780	39.020	-0.32%
Feb 08	39.920	39.180	40.240	39.110	1.63%
Mar 08	40.030	39.780	40.830	39.600	0.28%
Apr 08	40.460	39.940	40.650	39.600	1.07%
May 08	42.160	40.580	43.200	40.250	4.20%
Jun 08	42.930	42.200	43.120	42.100	1.83%
Jul 08	42.483	42.800	43.550	41.730	-1.04%
Aug 08	43.870	42.360	44.140	41.740	3.26%
Sep 08	46.815	43.600	47.110	43.450	6.71%
Oct 08	49.325	46.670	50.280	46.020	5.36%
Nov 08	49.575	49.100	50.570	46.700	0.51%
Dec 08	48.620	49.350	50.580	46.400	-1.93%
Jan 09	48.850	48.670	49.320	47.900	0.47%
Feb 09	51.005	48.650	51.170	48.160	4.41%
Mar 09	50.570	50.820	52.130	50.020	-0.85%
Apr 09	49.725	50.660	50.710	49.320	-1.67%
May 09	47.120	49.710	50.020	46.660	-5.24%
Jun 09	47.750	47.080	48.940	46.570	1.34%
Jul 09	47.825	48.000	49.445	47.550	0.16%
Aug 09	48.690	47.700	49.050	47.140	1.81%
Sep 09	47.735	48.650	49.200	47.700	-1.96%
Oct 09	46.925	47.700	47.910	45.770	-1.70%
Nov 09	46.535	46.980	47.420	45.750	-0.83%
Dec 09	46.410	46.340	47.030	45.860	-0.27%
Jan 10	46.125	46.605	46.672	45.090	-0.61%
Feb 10	46.105	46.150	46.865	45.720	-0.04%
Mar 10	44.825	46.080	46.142	44.750	-2.78%
Apr 10	44.275	44.900	44.900	44.050	-1.23%
May 10	46.365	44.200	47.740	44.180	4.72%
Jun 10	46.445	46.300	47.450	45.490	0.17%
Jul 10	46.405	46.340	47.410	46.220	-0.09%
Aug 10	47.065	46.320	47.145	45.710	1.42%
Sep 10	44.570	47.020	47.020	44.540	-5.30%
Oct 10	44.325	44.530	44.820	43.970	-0.55%
Nov 10	45.800	44.270	46.110	43.810	3.33%
Dec 10	44.712	45.880	45.880	44.570	-2.38%
Jan 11	45.825	44.610	46.010	44.510	2.49%
Feb 11	45.265	45.900	45.930	44.860	-1.22%
